sep= 
Time [s]	f1 [Hz]	f3 [Hz]	f5 [Hz]	f7 [Hz]	f9 [Hz]	f11 [Hz]	f13 [Hz]	D1 [ppm]	D3 [ppm]	D5 [ppm]	D7 [ppm]	D9 [ppm]	D11 [ppm]	D13 [ppm]
175,0965	-4,2175	0,5492	0,7553	0,7454	0,6502	0,7545	0,6948	0,4225	-0,1146	0,0590	0,0141	0,0165	-0,0074	0,0036
179,6752	-4,3401	0,5538	0,8696	0,6835	0,7054	0,6815	0,7470	0,4226	-0,1201	0,0432	0,0046	0,0227	0,0116	-0,0067
184,2929	-4,3124	0,5993	0,8331	0,7746	0,7083	0,7582	0,7422	0,4067	-0,1260	0,0503	0,0061	0,0242	-0,0055	-0,0110
188,8787	-4,4829	0,6211	0,8668	0,7879	0,8102	0,7811	0,7875	0,4012	-0,1292	0,0332	0,0253	0,0461	0,0089	-0,0292
193,4989	-5,8364	0,5945	0,8356	0,7782	0,6515	0,7268	0,7804	0,3955	-0,1355	0,0559	0,0268	0,0150	0,0020	-0,0298
198,0904	-4,8644	0,6356	0,8317	0,7996	0,6896	0,7276	0,7165	0,4177	-0,1308	0,0243	-0,0055	0,0410	0,0714	-0,0248
202,8044	-4,9659	0,6220	0,8597	0,8340	0,6852	0,8284	0,9293	0,4182	-0,1544	0,0496	-0,0103	0,0239	0,0256	-0,0309
207,4595	-5,4464	0,6615	0,9648	0,9012	0,7013	0,6866	0,8517	0,4082	-0,1480	0,0228	-0,0038	0,0058	0,0572	-0,0547
212,1648	-5,2163	0,6981	0,9606	0,9353	0,6891	0,8848	0,8098	0,4011	-0,1560	0,0456	0,0246	0,0153	-0,0185	-0,0232
216,8738	-5,3687	0,7336	0,9363	0,9537	0,8428	0,9419	0,8462	0,4057	-0,1564	0,0466	-0,0032	0,0076	-0,0261	-0,0444
221,6151	-5,7708	0,7032	0,8944	0,9392	0,8772	0,8572	0,9918	0,3965	-0,1602	0,0486	0,0239	0,0286	-0,0290	-0,0422
226,2692	-5,9155	0,7607	0,9825	0,9214	0,7619	0,7344	0,9643	0,3957	-0,1646	0,0399	0,0345	0,0228	0,0168	-0,0515
230,9202	-6,0092	0,7568	0,9697	0,9413	0,8698	0,9890	1,0203	0,3847	-0,1658	0,0455	0,0403	-0,0071	-0,0294	-0,0291
235,5287	-5,8929	0,7840	1,0527	0,9663	0,7680	0,9540	0,9749	0,3731	-0,1658	0,0692	0,0120	0,0011	0,0229	-0,0317
240,1263	-6,0696	0,7985	1,1073	0,9463	0,9449	1,0808	1,0328	0,3714	-0,1734	0,0524	0,0154	0,0093	-0,0094	-0,0638
244,7235	-6,3362	0,8025	1,0634	1,0350	0,8769	0,9632	1,0553	0,3845	-0,1713	0,0601	0,0028	0,0199	0,0114	-0,0205
249,3412	-6,5291	0,8238	1,0472	1,0475	0,9762	1,1566	1,1979	0,3831	-0,1702	0,0542	0,0009	0,0163	-0,0018	-0,0193
253,9104	-5,1921	0,8681	1,2284	1,1290	0,9739	1,2125	1,2254	0,3392	-0,1573	0,0537	0,0221	0,0071	-0,0117	-0,0646
258,5663	-5,1629	0,9522	1,2627	1,1944	1,0742	1,2115	1,1754	0,3599	-0,1622	0,0312	0,0003	-0,0094	-0,0098	-0,0524
263,2416	-5,2150	0,9770	1,2588	1,1975	1,1365	1,1950	1,2154	0,3535	-0,1700	0,0331	0,0114	-0,0150	0,0373	-0,0770
267,8846	-5,2884	0,9904	1,3014	1,2208	1,2404	1,1846	1,3381	0,3356	-0,1759	0,0334	-0,0003	0,0019	0,0030	-0,0360
272,5677	-5,2895	1,0414	1,3096	1,2393	1,1243	1,5090	1,2034	0,3238	-0,1767	0,0383	-0,0009	-0,0018	-0,0490	-0,0249
277,2452	-5,1462	1,0762	1,3532	1,2650	1,0876	1,2486	1,2932	0,3065	-0,1743	0,0161	-0,0060	-0,0042	-0,0468	-0,0347
281,8794	-5,2336	1,1127	1,4083	1,3148	1,1562	1,4609	1,2892	0,3037	-0,1772	0,0544	0,0178	0,0233	-0,0459	-0,0273
286,5527	-5,4095	1,1117	1,3768	1,2990	1,2623	1,4010	1,3862	0,3289	-0,1768	0,0320	-0,0136	0,0133	-0,0441	-0,0241
291,1996	-5,6340	1,1177	1,3920	1,3344	1,2308	1,3534	1,3309	0,3263	-0,1966	0,0370	-0,0068	0,0131	-0,0532	-0,0233
295,8115	-5,7859	1,1328	1,4272	1,3100	1,2261	1,3371	1,3547	0,3114	-0,1924	0,0359	0,0077	0,0029	0,0346	-0,0721
300,4280	-5,9571	1,1697	1,3997	1,3837	1,2267	1,4444	1,2827	0,3207	-0,1923	0,0517	0,0090	-0,0051	0,0206	-0,0235
305,0390	-6,1878	1,1963	1,4035	1,3561	1,3250	1,3264	1,3936	0,3112	-0,1886	0,0471	0,0086	-0,0037	0,0162	-0,0165
309,6680	-6,4761	1,2048	1,4360	1,4316	1,2666	1,4256	1,5044	0,2860	-0,1928	0,0517	0,0165	0,0086	0,0499	-0,0194
314,3178	-6,6022	1,1773	1,4444	1,4236	1,3501	1,4822	1,3131	0,2700	-0,1920	0,0537	0,0100	-0,0041	0,0057	-0,0434
318,9733	-6,7263	1,2028	1,5116	1,4765	1,2658	1,5100	1,4512	0,2889	-0,1930	0,0651	0,0149	-0,0076	-0,0197	-0,0394
323,6991	-6,9944	1,2355	1,5344	1,4037	1,4180	1,4732	1,5053	0,2625	-0,2022	0,0606	0,0248	-0,0038	0,0064	-0,0654
328,3839	-7,1172	1,2561	1,5649	1,4912	1,4114	1,4800	1,5077	0,2580	-0,2155	0,0603	0,0192	0,0044	-0,0199	-0,0587
333,0723	-7,3024	1,2671	1,5725	1,4824	1,2647	1,5776	1,5739	0,2393	-0,2005	0,0804	-0,0021	0,0187	-0,0106	0,0024
337,8059	-7,5314	1,2678	1,5529	1,4926	1,3991	1,6471	1,5506	0,2452	-0,2145	0,0677	0,0028	0,0032	-0,0190	-0,0007
342,5289	-7,6644	1,2782	1,5588	1,4463	1,3540	1,4765	1,5317	0,2332	-0,2125	0,0662	0,0207	0,0073	0,0032	-0,0254
347,2027	-7,8414	1,2447	1,5632	1,4734	1,3179	1,5180	1,5937	0,2115	-0,2122	0,0714	0,0160	0,0186	-0,0042	-0,0299
351,8811	-7,9471	1,2988	1,5410	1,5509	1,5036	1,6627	1,4563	0,2006	-0,2139	0,0747	0,0088	0,0202	-0,0379	-0,0705
356,4920	-8,0214	1,2957	1,5855	1,5250	1,5103	1,5656	1,5972	0,1886	-0,2383	0,0618	0,0340	0,0233	0,0261	-0,0516
361,0779	-8,1742	1,3228	1,6183	1,5888	1,4526	1,6700	1,5574	0,1961	-0,2295	0,0769	0,0076	-0,0198	-0,0071	-0,0263
365,7277	-8,2887	1,3337	1,6520	1,5606	1,4919	1,6919	1,7278	0,1649	-0,2202	0,0692	0,0211	-0,0103	0,0024	-0,0288
370,3719	-8,4679	1,3482	1,6451	1,5844	1,5270	1,6903	1,5648	0,1445	-0,2264	0,0656	-0,0090	0,0009	-0,0103	-0,0435
374,9989	-8,5454	1,3646	1,6839	1,5948	1,4310	1,6421	1,6751	0,1056	-0,2284	0,0735	0,0152	0,0010	0,0105	-0,0390
379,6073	-8,5202	1,3857	1,6801	1,6115	1,5424	1,6858	1,7402	0,1078	-0,2316	0,0835	0,0139	-0,0089	0,0105	-0,0456
384,2672	-8,7557	1,3949	1,6225	1,6057	1,5051	1,5550	1,5152	0,0677	-0,2407	0,0776	0,0329	0,0067	0,0236	-0,0221
388,9935	-8,8558	1,4257	1,6594	1,6180	1,5762	1,6563	1,5306	0,0586	-0,2180	0,0535	0,0183	-0,0004	0,0058	-0,0773
393,7627	-8,9873	1,4244	1,6617	1,5838	1,5103	1,7238	1,6241	0,0374	-0,2324	0,0682	0,0124	0,0038	0,0293	-0,0008
398,4486	-9,1270	1,4228	1,6797	1,5979	1,5679	1,8536	1,6585	0,0247	-0,2434	0,0647	0,0106	0,0158	0,0078	-0,0756
403,1086	-9,1738	1,4673	1,7479	1,6943	1,5058	1,5673	1,6648	0,0228	-0,2362	0,0719	0,0180	0,0022	0,0160	-0,0617
407,8366	-9,2964	1,4361	1,7327	1,7009	1,5486	1,7548	1,7348	-0,0205	-0,2389	0,0559	0,0115	-0,0015	0,0300	-0,0472
412,4846	-9,3465	1,4663	1,7136	1,6490	1,5772	1,6784	1,8183	-0,0185	-0,2423	0,0728	0,0017	0,0076	0,0676	-0,0424
417,0878	-9,5416	1,4610	1,7327	1,6815	1,6178	1,6491	1,8086	-0,0433	-0,2537	0,0728	0,0208	-0,0209	0,0333	-0,0287
421,7223	-9,6036	1,5340	1,7344	1,7265	1,6228	1,7892	1,8733	-0,0465	-0,2484	0,0792	0,0277	-0,0027	0,0369	-0,0214
426,3264	-9,6807	1,5113	1,7455	1,7016	1,6640	1,8121	1,8147	-0,0554	-0,2458	0,0647	0,0270	0,0106	0,0307	-0,0143
430,9629	-9,7635	1,5340	1,7588	1,7693	1,6874	1,8998	1,9811	-0,0644	-0,2569	0,0834	0,0157	-0,0038	0,0217	-0,1629
435,5858	-9,9302	1,5503	1,8031	1,6848	1,6381	1,8118	1,8973	-0,0832	-0,2486	0,0929	0,0208	0,0088	0,0337	-0,0687
440,2008	-10,0369	1,5482	1,7646	1,7383	1,6580	1,9794	1,9963	-0,1049	-0,2601	0,0809	0,0435	-0,0005	-0,0254	-0,0055
444,9031	-10,1536	1,5476	1,8350	1,7761	1,5711	2,0033	2,0221	-0,1123	-0,2689	0,0803	0,0266	0,0372	0,0120	-0,0609
449,6628	-10,2397	1,5611	1,7803	1,8499	1,7159	1,9312	2,0941	-0,1396	-0,2671	0,0718	0,0155	0,0054	0,0707	-0,0559
454,3649	-10,3375	1,5586	1,8424	1,8148	1,6702	1,7272	1,8952	-0,1501	-0,2584	0,0763	0,0358	0,0143	-0,0430	-0,0660
458,9993	-10,4258	1,6315	1,8109	1,8117	1,6106	1,7058	2,0865	-0,1680	-0,2732	0,0809	0,0475	0,0035	0,0480	-0,1032
463,6391	-10,5536	1,6154	1,8040	1,8059	1,6726	2,0668	1,7790	-0,1710	-0,2673	0,0823	0,0358	0,0161	-0,0424	0,0014
468,3617	-10,6296	1,6312	1,8486	1,8000	1,6939	1,9300	2,0451	-0,1783	-0,2679	0,0762	0,0300	0,0101	-0,0185	-0,0650
472,9570	-10,1762	1,6274	1,8931	1,9164	1,7922	1,9394	2,0899	-0,1212	-0,2667	0,0786	0,0275	0,0123	0,0350	-0,1227
477,5752	-9,7860	1,7206	2,0156	1,9804	1,8661	1,9315	2,0457	-0,1125	-0,2628	0,0646	0,0234	-0,0181	-0,0052	-0,0643
482,1643	-9,7498	1,7680	1,9875	1,9641	1,8944	2,2437	1,9684	-0,1124	-0,2666	0,0664	-0,0085	-0,0039	-0,0211	-0,0724
486,7637	-9,8505	1,7759	2,0403	2,0758	1,9070	2,0648	1,8675	-0,1212	-0,2809	0,0716	0,0032	-0,0042	-0,0269	-0,0740
491,3924	-9,9324	1,7832	2,0313	2,0612	1,8645	2,0276	2,1030	-0,1177	-0,2726	0,0691	0,0127	-0,0040	-0,0161	-0,0640
496,0165	-9,7946	1,7965	2,0572	2,0327	1,9599	2,0460	2,1751	-0,1124	-0,2611	0,0753	0,0150	-0,0242	0,0178	-0,0694
500,6771	-9,8253	1,8496	2,0744	2,0672	2,0107	2,2383	2,0041	-0,1588	-0,2734	0,0787	0,0244	0,0227	-0,0492	-0,0389
505,3301	-9,8669	1,8568	2,1173	2,0720	1,9415	2,1610	2,1754	-0,1482	-0,2749	0,0700	0,0256	0,0065	-0,0018	0,0134
509,9758	-9,9830	1,8324	2,1189	2,0625	1,9272	2,1740	2,1291	-0,1452	-0,2776	0,0765	0,0213	-0,0189	-0,0044	-0,0532
514,6161	-10,1004	1,8516	2,1121	2,0398	1,9355	2,1282	2,1506	-0,2007	-0,2738	0,0749	0,0115	-0,0051	0,0077	-0,0836
519,2688	-10,2196	1,9153	2,1221	2,0855	1,9017	2,1446	2,0928	-0,2014	-0,2799	0,0495	0,0205	-0,0028	0,0162	-0,0434
523,9200	-10,3552	1,8993	2,1343	2,1261	1,9743	2,2574	2,1236	-0,2126	-0,2837	0,0715	0,0215	-0,0024	-0,0021	-0,0311
