sep= 
Time [s]	f1 [Hz]	f3 [Hz]	f5 [Hz]	f7 [Hz]	f9 [Hz]	f11 [Hz]	f13 [Hz]	D1 [ppm]	D3 [ppm]	D5 [ppm]	D7 [ppm]	D9 [ppm]	D11 [ppm]	D13 [ppm]
3813,7017	-91,2447	-58,8982	-57,0855	-56,3367	-55,5306	-54,2532	-53,6535	-2,3956	1,3885	2,1582	2,1993	2,1764	2,3881	2,2308
3818,4098	-91,1516	-58,9510	-57,1048	-56,2762	-55,3608	-54,0797	-53,7991	-2,4114	1,3717	2,1471	2,2215	2,1758	2,4442	2,2479
3823,0890	-91,1615	-58,9382	-57,1453	-56,2663	-55,4716	-54,1681	-53,6187	-2,4141	1,3744	2,1262	2,2418	2,1714	2,4227	2,1845
3827,8105	-91,1617	-58,9174	-57,1828	-56,2897	-55,4956	-54,1552	-53,8085	-2,3862	1,3656	2,1358	2,2192	2,1652	2,4218	2,2189
3832,4554	-91,1853	-58,9813	-57,1581	-56,3079	-55,4277	-54,1564	-54,8259	-2,3945	1,3728	2,1452	2,2186	2,1966	2,4013	2,2445
3837,9054	-91,1411	-58,9312	-57,2999	-56,3635	-55,4880	-54,1338	-53,7575	-2,3803	1,3786	2,1629	2,2312	2,1758	2,4056	2,3219
3842,4666	-91,1733	-58,9520	-57,2139	-56,2234	-55,4433	-54,1446	-53,6385	-2,3976	1,3816	2,1915	2,2259	2,1861	2,4198	2,2529
3847,0608	-91,1889	-58,9440	-57,1567	-56,3378	-55,4917	-54,1348	-53,6366	-2,4028	1,3923	2,1468	2,2173	2,1787	2,4349	2,2535
3851,6999	-91,1614	-58,9535	-57,2798	-56,3233	-55,4507	-54,1585	-53,7413	-2,3976	1,3767	2,1651	2,2045	2,1731	2,4252	2,2479
3856,3280	-91,1560	-58,9610	-57,1996	-56,3282	-55,4211	-54,0868	-53,6980	-2,3893	1,3743	2,1571	2,2356	2,1800	2,4027	2,2199
3860,9844	-91,1317	-58,9541	-57,1792	-56,3748	-55,5179	-54,2075	-53,7343	-2,4093	1,3647	2,1773	2,2297	2,1784	2,4235	2,2347
3865,6675	-91,1266	-58,9464	-57,2551	-56,3848	-55,5002	-54,1990	-53,7660	-2,4043	1,3819	2,1387	2,2278	2,1720	2,4272	2,2509
3870,3437	-91,1148	-58,9415	-57,2925	-56,4039	-55,4806	-54,1251	-53,7760	-2,4417	1,3693	2,1493	2,2240	2,1556	2,4248	2,2280
3875,3721	-91,1164	-58,9714	-57,2557	-56,3455	-55,5406	-54,0916	-53,7033	-2,4178	1,3776	2,1441	2,2257	2,1632	2,4020	2,2195
3880,0736	-91,0613	-58,9153	-57,1688	-56,3679	-55,4017	-54,1887	-53,6849	-2,4091	1,3675	2,1657	2,2415	2,1683	2,4066	2,2243
3884,8221	-91,0969	-58,9447	-57,0262	-56,3375	-55,5132	-54,0763	-53,7264	-2,4035	1,3806	2,1644	2,2239	2,1689	2,4409	2,2410
3889,4627	-91,0592	-58,8974	-57,1770	-56,3061	-55,4432	-54,1186	-53,6338	-2,4345	1,3719	2,1351	2,2092	2,1516	2,4122	2,2214
3894,0703	-91,0968	-58,9042	-57,0834	-56,3506	-55,4403	-54,0751	-53,6978	-2,4195	1,3459	2,1552	2,2219	2,1551	2,4166	2,2229
3898,7652	-91,0803	-58,9129	-57,1863	-56,3499	-55,5722	-55,2531	-54,2690	-2,4325	1,3811	2,1892	2,1992	2,1655	2,4337	2,2457
3903,6001	-91,1021	-58,9108	-57,1908	-56,2808	-55,4089	-54,1480	-53,6152	-2,4466	1,3570	2,1871	2,2041	2,1678	2,3762	2,2160
3908,2002	-91,0846	-58,9275	-57,1043	-56,2934	-55,4638	-54,1677	-53,7708	-2,4290	1,3731	2,1315	2,2140	2,1542	2,4253	2,2422
3912,8049	-91,1049	-58,9228	-57,0869	-56,2481	-55,3661	-54,1023	-53,6542	-2,4169	1,3755	2,1511	2,2220	2,1281	2,4102	2,2342
3917,4057	-91,0753	-58,8941	-57,1359	-56,3540	-55,4963	-54,0611	-53,6347	-2,4252	1,3482	2,1443	2,2117	2,1743	2,4145	2,2179
3922,2504	-91,0843	-58,8448	-57,0675	-56,3397	-55,3942	-54,2181	-53,7495	-2,4195	1,3592	2,1530	2,2051	2,1585	2,4075	2,2193
3926,9346	-91,0724	-58,8630	-57,1238	-56,3216	-55,5388	-54,0427	-53,7159	-2,4235	1,3650	2,1326	2,2140	2,1709	2,4491	2,2709
3931,8301	-91,0433	-58,8579	-57,1413	-56,3053	-55,6183	-54,1703	-53,7088	-2,4064	1,3664	2,1329	2,2198	2,1611	2,4111	2,2373
3936,8315	-90,9865	-58,9337	-57,1503	-56,2908	-55,4580	-54,2092	-53,7232	-2,4055	1,3764	2,1341	2,2295	2,1630	2,3800	2,2462
3941,5387	-91,0751	-58,9335	-57,1163	-56,2844	-55,4538	-54,1491	-53,6571	-2,4255	1,3664	2,1369	2,2126	2,1734	2,4163	2,2297
3946,2079	-91,0511	-58,8735	-57,1176	-56,3185	-55,3406	-54,2432	-53,8197	-2,4333	1,3791	2,1643	2,1916	2,1462	2,4175	2,2379
3950,9796	-91,0055	-58,8729	-57,1312	-56,9506	-55,8012	-54,3066	-53,7527	-2,4283	1,3571	2,1226	2,2264	2,1685	2,4188	2,2761
3956,4226	-91,0485	-58,9494	-57,1352	-56,3036	-55,4259	-54,2168	-53,6822	-2,4489	1,3500	2,1672	2,2218	2,1793	2,3936	2,2504
3961,1155	-91,0689	-58,8933	-57,1990	-56,2751	-55,5106	-54,1719	-53,6749	-2,4362	1,3598	2,1517	2,2363	2,1498	2,3796	2,2388
3965,7235	-91,0718	-58,9419	-57,1249	-56,2705	-55,4880	-54,2446	-53,7433	-2,4438	1,3768	2,1692	2,2237	2,1282	2,3988	2,2248
3970,3382	-91,0281	-58,8947	-57,1552	-56,3635	-55,5538	-54,1496	-53,6675	-2,4717	1,3671	2,1633	2,2330	2,1563	2,4103	2,1954
3975,0703	-91,0852	-58,9096	-57,1641	-56,3130	-55,4555	-54,1294	-53,6515	-2,4451	1,3641	2,1575	2,1964	2,1526	2,4130	2,1921
3979,7166	-91,1040	-58,9473	-57,1246	-56,3077	-55,4439	-54,1692	-53,7028	-2,4660	1,3631	2,1578	2,2187	2,1666	2,4234	2,2068
3984,3970	-91,0988	-58,9265	-57,2015	-56,3520	-55,5078	-54,2093	-53,7246	-2,4638	1,3631	2,1675	2,2192	2,1665	2,4138	2,2237
3989,1355	-91,0927	-58,8859	-57,1962	-56,3175	-55,5166	-54,2979	-53,8727	-2,4656	1,3627	2,1343	2,2132	2,1495	2,3998	2,2188
3993,8475	-91,1029	-58,9522	-57,2274	-56,3316	-55,4827	-54,2085	-53,6734	-2,4885	1,3568	2,1373	2,2222	2,1628	2,4211	2,2326
3998,5103	-91,0462	-58,8852	-57,2310	-56,3176	-55,4025	-54,1089	-53,5825	-2,4646	1,3575	2,1425	2,2081	2,1614	2,4176	2,2061
4003,2444	-91,0317	-58,8627	-57,2172	-56,3714	-55,4439	-54,1692	-53,7857	-2,4496	1,3743	2,1138	2,2039	2,1609	2,3812	2,2517
4008,1819	-91,0560	-58,8829	-57,1705	-56,3418	-55,4450	-54,0435	-53,5462	-2,4570	1,3469	2,1482	2,1998	2,1515	2,3762	2,2354
4012,8154	-91,0162	-58,8778	-57,1645	-56,3745	-55,3983	-54,1261	-53,7055	-2,4657	1,3635	2,1474	2,2192	2,1330	2,4108	2,2263
4017,4109	-91,0583	-58,9020	-57,1632	-56,2587	-55,4117	-54,1889	-53,7060	-2,4847	1,3475	2,1482	2,2010	2,1294	2,3922	2,2099
4022,0201	-91,0159	-58,8515	-57,0965	-56,2915	-55,3921	-54,1904	-53,6461	-2,4713	1,3495	2,1642	2,2034	2,1555	2,3981	2,2552
4026,6098	-91,0155	-58,9097	-57,0270	-56,3657	-55,5251	-54,2672	-53,6982	-2,4607	1,3622	2,1563	2,2056	2,1557	2,4210	2,2568
4031,2759	-91,0128	-58,8721	-57,2485	-56,2813	-55,4786	-54,1518	-53,7184	-2,4658	1,3703	2,1120	2,2059	2,1586	2,4214	2,2576
4035,8877	-91,0052	-58,9181	-57,1701	-56,3021	-55,5041	-54,1613	-53,7143	-2,4689	1,3528	2,1209	2,2083	2,1599	2,4068	2,2195
4040,5469	-91,0571	-58,8602	-57,1450	-56,3160	-55,4701	-54,1409	-53,7056	-2,4446	1,3722	2,1760	2,1961	2,1722	2,4096	2,2186
4045,3422	-91,0589	-58,9128	-57,1889	-56,3534	-55,5939	-54,1760	-53,8278	-2,4658	1,3451	2,1282	2,2072	2,1684	2,3757	2,2622
4050,0763	-91,0885	-58,8687	-57,2286	-56,2802	-55,5443	-54,1376	-53,7357	-2,4525	1,3367	2,1412	2,2225	2,1871	2,4018	2,1997
4054,7530	-91,0722	-58,8874	-57,1708	-56,3686	-55,4424	-54,2028	-53,7718	-2,4452	1,3755	2,1456	2,1988	2,1648	2,4020	2,2218
4059,4510	-91,0559	-58,9285	-57,2000	-56,3432	-55,4727	-54,1472	-53,7152	-2,4739	1,3341	2,1615	2,2294	2,1648	2,4296	2,2288
4064,1525	-91,0950	-58,9081	-57,1894	-56,3604	-55,4534	-54,2284	-53,8002	-2,4433	1,3479	2,1418	2,2180	2,1493	2,3940	2,2450
4068,8792	-91,0931	-58,9200	-57,1380	-56,3412	-55,3902	-54,1167	-53,7582	-2,4535	1,3497	2,1498	2,2233	2,1547	2,3921	2,1945
4073,4898	-91,0391	-58,9197	-57,2184	-56,3514	-55,4986	-54,1546	-53,7148	-2,4398	1,3496	2,1475	2,2211	2,1521	2,3931	2,1713
4078,1096	-91,0692	-58,9657	-57,2824	-56,3481	-55,4223	-54,1607	-53,7419	-2,4460	1,3437	2,1578	2,2098	2,1477	2,3874	2,2140
4082,7139	-91,0583	-58,9167	-57,2295	-56,3615	-55,4642	-54,2025	-53,7687	-2,4515	1,3312	2,1642	2,2089	2,1423	2,3883	2,2211
4087,3157	-91,1240	-58,9729	-57,1571	-56,3157	-55,4908	-54,2014	-53,8271	-2,4624	1,3593	2,1387	2,2215	2,1453	2,3743	2,2143
4091,9386	-91,0927	-58,9350	-57,1714	-56,3876	-55,4253	-54,1182	-53,7360	-2,4476	1,3772	2,1598	2,2144	2,1624	2,4059	2,1963
4096,5490	-91,0762	-58,9573	-57,2224	-56,3568	-55,5207	-54,2013	-53,7696	-2,4521	1,3543	2,1620	2,2051	2,1524	2,3772	2,2172
4101,1846	-91,1286	-58,9717	-57,2066	-56,4084	-55,4617	-54,2663	-53,9302	-2,4533	1,3535	2,1404	2,2085	2,1697	2,4110	2,2243
4105,8474	-91,0785	-58,9450	-57,2288	-56,3810	-55,5977	-54,2566	-53,7919	-2,4263	1,3509	2,1325	2,2041	2,1432	2,4084	2,2029
4110,5143	-91,1212	-58,9680	-57,3089	-56,4066	-55,5299	-54,2731	-53,6531	-2,4447	1,3532	2,1421	2,1962	2,1651	2,4147	2,2023
4115,1852	-91,1222	-58,9913	-57,2978	-56,4401	-55,5270	-54,1804	-53,8289	-2,4573	1,3589	2,1288	2,1909	2,1604	2,3930	2,2020
4119,8789	-91,1173	-58,9803	-57,2409	-56,4067	-55,5705	-54,2698	-53,8297	-2,4587	1,3556	2,1586	2,2075	2,1745	2,3967	2,2218
4124,5592	-91,1527	-58,9979	-57,2164	-56,3814	-55,5508	-54,2954	-53,8394	-2,4519	1,3561	2,1661	2,2133	2,1754	2,3963	2,1961
4129,5506	-91,1421	-58,9810	-57,1524	-56,3956	-55,5373	-54,2388	-53,8370	-2,4544	1,3717	2,1579	2,2176	2,1863	2,3914	2,2603
4134,1895	-91,1255	-58,9934	-57,2544	-56,3833	-55,5330	-54,2218	-53,8029	-2,4530	1,3467	2,1421	2,1854	2,1807	2,4071	2,2480
4138,8281	-91,0906	-58,9781	-57,2831	-56,4266	-55,5714	-54,1812	-53,8566	-2,4420	1,3588	2,1419	2,2011	2,1586	2,3714	2,1851
4143,4473	-91,1195	-58,9978	-57,2883	-56,4426	-55,5099	-54,2421	-53,7363	-2,4401	1,3722	2,1434	2,2065	2,1402	2,4406	2,1925
4148,0490	-91,1358	-59,0053	-57,3288	-56,3419	-55,5652	-54,2288	-53,8373	-2,4472	1,3428	2,1637	2,1942	2,1627	2,4286	2,2141
4152,6756	-91,1129	-58,9596	-57,2267	-56,4151	-55,5907	-54,2472	-53,8776	-2,4762	1,3523	2,1554	2,1897	2,1513	2,4319	2,2395
4157,3155	-91,1059	-58,9307	-57,2598	-56,3925	-55,6358	-54,2033	-53,7034	-2,4927	1,3748	2,1258	2,1948	2,1579	2,4142	2,2388
4162,0032	-91,0908	-58,9766	-57,2194	-56,3624	-55,5106	-54,3482	-53,8232	-2,4894	1,3621	2,1430	2,2101	2,1634	2,4155	2,1898
4167,1346	-91,0538	-58,9610	-57,2364	-56,4068	-55,4774	-54,1960	-53,8376	-2,4850	1,3616	2,1448	2,1964	2,1383	2,3904	2,2204
4171,9666	-91,0449	-58,9645	-57,2461	-56,3824	-55,5465	-54,2546	-53,8098	-2,5096	1,3647	2,1405	2,2011	2,1555	2,3984	2,2407
4176,6242	-91,0808	-58,9396	-57,2994	-56,3974	-55,5070	-54,2202	-53,7603	-2,5020	1,3801	2,1686	2,2139	2,1212	2,4006	2,2404
4181,3156	-91,0285	-58,9676	-57,2598	-56,3789	-55,4574	-54,4322	-53,8701	-2,5158	1,3485	2,1352	2,2047	2,1322	2,4011	2,2182
4186,0191	-91,1300	-58,9564	-57,3353	-56,4526	-55,4521	-54,1023	-53,7748	-2,5006	1,3435	2,1673	2,2050	2,1392	2,4096	2,1958
4190,6372	-91,0564	-58,9298	-57,3174	-56,3651	-55,4875	-54,1644	-53,8214	-2,5145	1,3596	2,1451	2,1931	2,1356	2,4236	2,1850
4195,2632	-91,0448	-58,9566	-57,2726	-56,4020	-55,5019	-54,1649	-53,7402	-2,5121	1,3657	2,1619	2,2095	2,1381	2,4223	2,1849
4199,8737	-91,0602	-58,9915	-57,2062	-56,4528	-55,5627	-54,1293	-53,7735	-2,5309	1,3306	2,1478	2,2010	2,1429	2,4175	2,1569
4204,4815	-91,0727	-58,9616	-57,2753	-56,4408	-55,5083	-54,1842	-53,7586	-2,5168	1,3543	2,1419	2,1981	2,1438	2,3917	2,1691
4209,0661	-91,0369	-58,9359	-57,2607	-56,4154	-55,5689	-54,2066	-53,7832	-2,5272	1,3382	2,1319	2,1973	2,1523	2,3869	2,2139
4213,7156	-91,0246	-58,9575	-57,1898	-56,4163	-55,6134	-54,3173	-53,7616	-2,5542	1,3450	2,1633	2,1853	2,1506	2,3888	2,1804
4218,3411	-91,0149	-58,9604	-57,2391	-56,3580	-55,5586	-54,1898	-53,8588	-2,5559	1,3464	2,1398	2,1960	2,1561	2,3886	2,1623
4223,0246	-90,9644	-58,9827	-57,2151	-56,3843	-55,5467	-54,2233	-53,8410	-2,5475	1,3415	2,1385	2,1874	2,1207	2,4008	2,1829
4227,6705	-90,9952	-58,9043	-57,1374	-56,3000	-56,5228	-54,7077	-54,1282	-2,5387	1,3313	2,1200	2,1938	2,1655	2,4048	2,2107
4232,7137	-90,9628	-58,9593	-57,2957	-56,3495	-55,4880	-54,1050	-53,7720	-2,5846	1,3361	2,0959	2,1968	2,1099	2,3997	2,1902
4237,3318	-90,9131	-58,9128	-57,2358	-56,3521	-55,4907	-54,1797	-53,6831	-2,5653	1,3468	2,1429	2,2058	2,1226	2,3867	2,2032
4241,9623	-90,9479	-58,9816	-57,2018	-56,3852	-55,5944	-54,2300	-53,7956	-2,5705	1,3389	2,1463	2,2018	2,1351	2,4069	2,1804
4246,5952	-90,9910	-58,9400	-57,2084	-56,3944	-55,5205	-54,2019	-53,6371	-2,5635	1,3207	2,1569	2,1869	2,1305	2,3935	2,1509
4251,1888	-90,9441	-58,9583	-57,2056	-56,2773	-55,5066	-54,2149	-53,8132	-2,5636	1,3532	2,0965	2,2043	2,1388	2,3776	2,2002
4255,7986	-90,9954	-58,9663	-57,2217	-56,4446	-55,5536	-54,2431	-53,7880	-2,5471	1,3364	2,1323	2,2095	2,1367	2,3983	2,1815
4260,4197	-90,9670	-59,0003	-57,3185	-56,3825	-55,5767	-54,3491	-53,8931	-2,5554	1,3326	2,1555	2,2081	2,1534	2,3699	2,2166
4265,0317	-91,0012	-58,9686	-57,2606	-56,4178	-55,4956	-54,3103	-53,7981	-2,5463	1,3365	2,1398	2,1856	2,1271	2,4042	2,1952
4269,6317	-90,9672	-58,9525	-57,2225	-56,3803	-55,5159	-54,1134	-53,8228	-2,5071	1,3508	2,1241	2,1943	2,1588	2,3799	2,1972
4274,1966	-90,9802	-58,9341	-57,2708	-56,3962	-55,5421	-54,1838	-53,7299	-2,5321	1,3310	2,1059	2,1832	2,1474	2,3962	2,1491
4278,8384	-90,9789	-58,9307	-57,2127	-56,4092	-55,5251	-54,2458	-53,8851	-2,5345	1,3303	2,1374	2,1947	2,1421	2,3905	2,2426
4283,5591	-91,0108	-58,9142	-57,2710	-56,4329	-55,6077	-54,2422	-53,8296	-2,5070	1,3464	2,1166	2,1979	2,1372	2,3957	2,2375
4288,2300	-90,9837	-58,9367	-57,2698	-56,4546	-55,5744	-54,2774	-53,7950	-2,5296	1,3436	2,1341	2,2123	2,1447	2,4048	2,1996
4292,8615	-91,0458	-58,9403	-57,2876	-56,4125	-55,5241	-54,1922	-54,7177	-2,5090	1,3298	2,1200	2,2036	2,1497	2,4023	2,2397
4297,7607	-90,9903	-58,9288	-57,2631	-56,4370	-55,6333	-54,3030	-53,9101	-2,5198	1,3280	2,1424	2,1921	2,1421	2,3852	2,2065
4302,4502	-91,0065	-59,0069	-57,2687	-56,4099	-55,5192	-54,3292	-53,8623	-2,5182	1,3475	2,1347	2,1830	2,1214	2,4141	2,1697
4307,1283	-91,0023	-58,9830	-57,2352	-56,4034	-56,6601	-54,7765	-54,1178	-2,5133	1,3155	2,1748	2,2071	2,1567	2,3945	2,1793
4312,2247	-90,9937	-58,9703	-57,3574	-56,4172	-55,5112	-54,1943	-53,6822	-2,5334	1,3429	2,1392	2,1801	2,1527	2,4071	2,1715
4316,8388	-90,9575	-59,0108	-57,2632	-56,4058	-55,6514	-54,2552	-53,8474	-2,5410	1,3386	2,1296	2,2072	2,1368	2,4163	2,2033
4321,4207	-91,0451	-58,9571	-57,2560	-56,4377	-55,6376	-54,2729	-53,8317	-2,5632	1,3394	2,1409	2,1873	2,1277	2,4117	2,2079
4326,0203	-91,0023	-58,9855	-57,3424	-56,4201	-55,5325	-54,2220	-53,8224	-2,5414	1,3395	2,1337	2,2037	2,1365	2,3655	2,2301
4330,6604	-90,9909	-59,0162	-57,3115	-56,3971	-55,5795	-54,2641	-53,8291	-2,5466	1,3548	2,1170	2,2110	2,1257	2,3962	2,2065
4335,3429	-91,0394	-58,9650	-57,2120	-56,3947	-55,6206	-54,2831	-53,8356	-2,5587	1,3266	2,1251	2,1905	2,1340	2,3891	2,2286
4339,9915	-90,9943	-59,0109	-57,3541	-56,5266	-55,6625	-54,2750	-53,8303	-2,5635	1,3452	2,1567	2,1997	2,1416	2,3777	2,2038
4344,7271	-91,0587	-58,9421	-57,2767	-56,4114	-56,3310	-54,6858	-54,1529	-2,5591	1,3231	2,1471	2,1949	2,1381	2,4013	2,2356
4349,4879	-91,0285	-58,9525	-57,4157	-56,4478	-55,6665	-54,3605	-53,8492	-2,5554	1,3169	2,1433	2,1760	2,1349	2,3959	2,2025
4354,2042	-91,0538	-58,9958	-57,3232	-56,4659	-55,6047	-54,3090	-53,9523	-2,5459	1,3467	2,1390	2,1753	2,1530	2,4058	2,1955
4358,8923	-91,0616	-59,0172	-57,3160	-56,4267	-55,6545	-54,2045	-53,8596	-2,5618	1,3337	2,1203	2,1896	2,1416	2,4161	2,1982
4363,6081	-91,0403	-59,0237	-57,3182	-56,4707	-55,6600	-54,3235	-53,9067	-2,5560	1,3373	2,1643	2,1948	2,1409	2,3868	2,1750
4368,4681	-91,0764	-58,9659	-57,3208	-56,3626	-56,7865	-54,8492	-54,1279	-2,5485	1,3511	2,1353	2,1998	2,1630	2,4141	2,1815
4373,6838	-91,1126	-58,9594	-57,2815	-56,4406	-55,6141	-54,2045	-53,8724	-2,5465	1,3589	2,1423	2,1928	2,1335	2,3964	2,2226
4378,3121	-91,0448	-58,9164	-57,3208	-56,4244	-55,6337	-54,2307	-53,7457	-2,5511	1,3456	2,1330	2,1926	2,1191	2,4128	2,2419
4382,9120	-91,0839	-58,9891	-57,2943	-56,4282	-55,6404	-54,2503	-53,8561	-2,5561	1,3625	2,1523	2,2006	2,1347	2,3960	2,2319
4387,9622	-91,0955	-58,9977	-57,3154	-56,4821	-55,5657	-54,1993	-53,8308	-2,5451	1,3481	2,1408	2,1912	2,1306	2,4314	2,2380
4392,5701	-91,1055	-59,0316	-57,3707	-56,4070	-55,6192	-54,3304	-53,8304	-2,5607	1,3472	2,1619	2,1879	2,1425	2,4328	2,2271
4397,1746	-91,1327	-59,0370	-57,2364	-56,5622	-55,5765	-54,3277	-53,9134	-2,5553	1,3648	2,1404	2,1899	2,1622	2,3914	2,2028
4401,8223	-91,0511	-59,0192	-57,3041	-56,4518	-55,6431	-54,3181	-53,8885	-2,5678	1,3513	2,1303	2,1911	2,0922	2,3759	2,2450
4406,5103	-91,1419	-59,0166	-57,3947	-56,4804	-55,6818	-54,3639	-53,9304	-2,5708	1,3479	2,1260	2,2055	2,1374	2,3788	2,1872
4411,2699	-91,1020	-59,0391	-57,3258	-56,4527	-55,7248	-54,3970	-53,8505	-2,5662	1,3452	2,1610	2,1896	2,1327	2,3877	2,1583
4415,9459	-91,1320	-59,0188	-57,3290	-56,4462	-55,6139	-54,3895	-53,9455	-2,5724	1,3449	2,1465	2,1799	2,1326	2,4036	2,1909
4420,8638	-91,1023	-59,0266	-57,3350	-56,4940	-55,6092	-54,2548	-53,7943	-2,5754	1,3368	2,1370	2,1743	2,1326	2,3663	2,1842
4425,5385	-91,1404	-58,9683	-57,2759	-56,5205	-55,6728	-54,3845	-53,8947	-2,5845	1,3444	2,1326	2,2044	2,1058	2,3851	2,1806
4430,2060	-91,1321	-59,0591	-57,3500	-56,5022	-55,6750	-54,3410	-53,8258	-2,5844	1,3333	2,1422	2,2185	2,1498	2,4281	2,2033
4434,7940	-91,1276	-59,0263	-57,3647	-56,5025	-55,7001	-54,3033	-53,8809	-2,6003	1,3312	2,1658	2,1928	2,1410	2,4026	2,1854
4439,3883	-91,1483	-59,0199	-57,3193	-56,5060	-55,5609	-54,2411	-53,8522	-2,5714	1,3377	2,1069	2,1953	2,1322	2,3959	2,1939
4443,9879	-91,1118	-59,0317	-57,2828	-56,4995	-55,6903	-54,2904	-53,7407	-2,5857	1,3346	2,1266	2,1799	2,1232	2,4096	2,1804
4448,5745	-91,0872	-59,0109	-57,3929	-56,4348	-55,5597	-54,3539	-53,8791	-2,5905	1,3266	2,1519	2,1788	2,1343	2,3747	2,1747
4453,1718	-91,0864	-58,9777	-57,3212	-56,5283	-55,5825	-54,2524	-53,7717	-2,6039	1,3274	2,1284	2,1866	2,1212	2,3737	2,1628
4457,7900	-91,0769	-58,9662	-57,2742	-56,5162	-55,5878	-54,4153	-53,9544	-2,5848	1,3345	2,1422	2,1858	2,1172	2,3755	2,1944
4462,4517	-91,1032	-58,9742	-57,3371	-56,4675	-55,5887	-54,3353	-53,8506	-2,5869	1,3461	2,1171	2,1940	2,1233	2,3491	2,2193
4467,1153	-90,7552	-59,0626	-57,3088	-56,5082	-55,6317	-54,3230	-53,8799	-2,4495	1,3462	2,1360	2,1967	2,1221	2,3801	2,2501
4471,7690	-90,5879	-59,0505	-57,3261	-56,4701	-55,5250	-54,3236	-53,8929	-2,3839	1,3354	2,1482	2,2010	2,1391	2,3803	2,2106
4476,4182	-90,2476	-58,9877	-57,3677	-56,4438	-55,6576	-54,2883	-53,8398	-2,4505	1,3276	2,1288	2,1985	2,1496	2,3765	2,2123
4481,0863	-90,5563	-59,0341	-57,3705	-56,5095	-55,5886	-54,3119	-53,8937	-2,4220	1,3500	2,1300	2,1853	2,1368	2,3934	2,2074
4485,7681	-90,5771	-59,0217	-57,2892	-56,4538	-55,6379	-54,2578	-53,7905	-2,4184	1,3515	2,1311	2,1871	2,1559	2,3927	2,2074
4490,5606	-90,6080	-59,0378	-57,3126	-56,5131	-55,6440	-54,3589	-53,9212	-2,4217	1,3355	2,1364	2,1960	2,1295	2,3913	2,2058
4495,1834	-90,4658	-59,0210	-57,2553	-56,4867	-55,5133	-54,2598	-53,7897	-2,4286	1,3520	2,1312	2,1821	2,1434	2,3908	2,2061
4500,1223	-90,3928	-58,9665	-57,3309	-56,5059	-55,6586	-54,3026	-53,9631	-2,4447	1,3419	2,1276	2,1792	2,1224	2,3974	2,1751
4504,7750	-90,4561	-59,0452	-57,3290	-56,4874	-55,5995	-54,3393	-53,8958	-2,4766	1,3233	2,1487	2,1865	2,1361	2,4016	2,1517
4509,4867	-90,4090	-58,9992	-57,2160	-56,4947	-55,5799	-55,4057	-54,4023	-2,4557	1,3200	2,1352	2,2036	2,1190	2,4093	2,2026
4514,6596	-90,0149	-58,9774	-57,2790	-56,4057	-55,5225	-54,3714	-53,8447	-2,2362	1,3618	2,1433	2,1986	2,1330	2,3815	2,1808
4519,3703	-89,4906	-58,9287	-57,2904	-56,3895	-55,4884	-54,2909	-54,0024	-2,0202	1,3681	2,1307	2,1892	2,1422	2,3923	2,1950
4523,9959	-90,7503	-59,0160	-57,3404	-56,4346	-55,5128	-54,2547	-53,8371	-2,8416	1,3190	2,1250	2,1842	2,1313	2,3910	2,2329
4528,6644	-90,7674	-58,9395	-57,2765	-56,4576	-55,5706	-54,2752	-53,8139	-2,8324	1,3256	2,1381	2,1850	2,1163	2,4082	2,2224
4533,3587	-90,7208	-58,9590	-57,2893	-56,6680	-55,7455	-54,3323	-53,9409	-2,8341	1,3073	2,1147	2,1611	2,1101	2,4063	2,1641
4538,1138	-90,7832	-58,9069	-57,2424	-56,3818	-55,6099	-54,2039	-54,7710	-2,8447	1,3161	2,1225	2,1790	2,1304	2,3810	2,1799
4543,1095	-90,7602	-58,9192	-57,2555	-56,4044	-55,5386	-54,2974	-53,7501	-2,9064	1,2957	2,1568	2,1651	2,1264	2,3783	2,1678
4547,7804	-90,7883	-58,8940	-57,2262	-56,4344	-55,5115	-54,1907	-53,9380	-2,9067	1,2883	2,1030	2,1723	2,1161	2,3620	2,1802
4552,3927	-90,7476	-58,9327	-57,1843	-56,4197	-55,4977	-54,1143	-53,7805	-2,8489	1,2974	2,1229	2,1644	2,1417	2,3824	2,1692
4556,9727	-90,7506	-58,9172	-57,2107	-56,3668	-55,4166	-54,1905	-53,8328	-2,9319	1,2844	2,0991	2,1752	2,1114	2,3638	2,1959
4561,5761	-90,8198	-58,8550	-57,1879	-56,3399	-55,4988	-54,2718	-53,8854	-3,0212	1,3072	2,1056	2,1750	2,1310	2,4027	2,1643
4566,2199	-90,9898	-58,9393	-57,2729	-56,4272	-55,5241	-54,2689	-53,8761	-3,1044	1,3188	2,1027	2,1867	2,1443	2,3642	2,1594
4570,8389	-91,1792	-58,9738	-57,3235	-56,4366	-55,6125	-54,2567	-53,8659	-3,1729	1,3227	2,1516	2,2086	2,1463	2,4147	2,2424
4575,4502	-91,2919	-58,9980	-57,3207	-56,4656	-55,6470	-54,2600	-53,8486	-3,3083	1,3332	2,1493	2,2218	2,1281	2,4152	2,2329
4580,0846	-91,3890	-59,0004	-57,2659	-56,4325	-55,5973	-54,2670	-53,8570	-3,3579	1,3324	2,1671	2,2215	2,1331	2,4432	2,2394
4585,0163	-91,5288	-59,0411	-57,3924	-56,4679	-55,6916	-54,2619	-54,0251	-3,3858	1,3593	2,2074	2,2191	2,1719	2,4229	2,2859
